,brand,color,color_group,gearbox,drive,fuel_type,city,city_group,base_model,car_class,mileage,power_1,power_2,model_popularity,age,generation,is_new,is_restyling,is_pro,is_max,is_premium,price
1129,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Cityray,Other,42,1.5,147,61,1.0,1,False,0,0,0,0,2245000.0
1130,Geely,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,36,2.0,238,319,0.0,1,False,1,0,0,1,4050000.0
1131,Chery,серебристый,Нейтральные,механика,передний,Бензин,Москва,Москва,Tiggo,Other,72 000,1.5,152,270,5.0,1,False,0,0,0,0,649000.0
1132,Geely,жёлтый,Тёплые,автомат,передний,Бензин,Москва,Москва,Atlas,SUV,10 000,1.5,177,132,3.0,1,False,0,1,0,0,1386000.0
1133,Chery,серый,Нейтральные,вариатор,передний,Бензин,Москва,Москва,Tiggo,Other,81 758,1.5,113,270,3.0,1,False,1,0,0,0,1046000.0
1134,Chery,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,Tiggo,Other,6 128,1.6,150,270,1.0,1,False,1,1,1,0,2457000.0
1135,Geely,серебристый,Нейтральные,робот,передний,Бензин,Москва,Москва,Coolray,Crossover,26 500,1.5,150,124,4.0,1,False,0,0,0,0,1850000.0
1136,Chery,белый,Нейтральные,робот,полный,Бензин,Тимохово,Города-спутники,Tiggo,Other,118 706,2.0,197,270,2.0,1,False,0,1,1,0,1550000.0
1137,Chery,серебристый,Нейтральные,робот,передний,Бензин,Королёв,Московская область,Tiggo,Other,16 000,1.5,147,270,3.0,1,False,0,1,0,0,1840000.0
1138,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Boyue Cool,Other,5 000,1.5,174,47,1.0,1,False,0,0,0,0,1750000.0
1139,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Jiaji L,Other,10,1.5,181,54,1.0,1,False,1,0,0,0,2699999.0
1140,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,5,2.0,238,319,1.0,1,False,1,0,0,1,3590000.0
